22.01.2021;11:24
t [ms] ;v [m/s]
783;2444768
784;12685796
785;17758047
786;21661856
787;24951865
788;27846536
789;30458836
790;32856228
791;35082833
792;37169393
793;39138346
794;41006669
795;42787575
796;44491593
797;46127271
798;47701667
799;49220687
800;50689335
801;52111894
802;53492064
803;54833068
804;56137735
805;57408563
806;58647773
807;59857348
808;61039069
809;62194544
810;63325227
811;64432441
812;65517395
813;66581193
814;67624851
815;68649304
816;69655416
817;70643985
818;71615754
819;72571413
820;73511605
821;74436931
822;75347953
823;76245198
824;77129160
825;78000305
826;78859071
827;79705870
828;80541094
829;81365112
830;82178272
831;82980908
832;83773332
833;84555845
834;85328731
835;86092260
836;86846691
837;87592270
838;88329232
839;89057803
840;89778196
841;90490618
842;91195267
843;91892331
844;92581991
845;93264423
846;93939794
847;94608263
848;95269988
849;95925115
850;96573790
851;97216150
852;97852330
853;98482457
854;99106656
855;99725048
856;100337748
857;100944868
858;101546518
859;102142802
860;102733822
861;103319677
862;103900461
863;104476268
864;105047188
865;105613306
866;106174709
867;106731478
868;107283692
869;107831429
870;108374765
871;108913772
872;109448522
873;109979084
874;110505526
875;111027912
876;111546308
877;112060774
878;112571373
879;113078162
880;113581201
881;114080543
882;114576246
883;115068361
884;115556942
885;116042039
886;116523703
887;117001981
888;117476921
889;117948569
890;118416971
891;118882172
892;119344214
893;119803140
894;120258991
895;120711808
896;121161631
897;121608498
898;122052448
899;122493517
900;122931743
901;123367161
902;123799805
903;124229710
904;124656911
905;125081439
906;125503327
907;125922607
908;126339309
909;126753465
910;127165103
911;127574254
912;127980946
913;128385208
914;128787066
915;129186548
916;129583682
917;129978493
918;130371006
919;130761248
920;131149243
921;131535015
922;131918589
923;132299988
924;132679235
925;133056353
926;133431364
927;133804291
928;134175155
929;134543977
930;134910778
931;135275580
932;135638401
933;135999263
934;136358185
935;136715185
936;137070284
937;137423499
938;137774850
939;138124354
940;138472029
941;138817893
942;139161964
943;139504257
944;139844790
945;140183580
946;140520643
947;140855995
948;141189651
949;141521628
950;141851940
951;142180604
952;142507633
953;142833043
954;143156848
955;143479062
956;143799700
957;144118775
958;144436301
959;144752292
960;145066761
961;145379722
962;145691186
963;146001168
964;146309679
965;146616733
966;146936586
967;147257705
968;147577240
969;147895204
970;148211613
971;148532038
972;148881295
973;149236917
974;149236917
975;149236917
976;149236917
977;149236917
978;149236917
979;149236917
980;149236917
981;149236917
982;149236917
983;149236917
984;149236917
985;149236917
986;149236917
987;149236917
988;149236917
989;149236917
990;149236917
991;149236917
992;149236917
993;149236917
994;149236917
995;149236917
996;149236917
997;149236917
998;149236917
999;149236917
1000;149236917
1001;149236917
1002;149236917
1003;149236917
1004;149236917
1005;149236917
1006;149236917
1007;149236917
1008;149236917
1009;149544089
1010;149849799
1011;150154062
1012;150456888
1013;150758290
1014;151058279
1015;151356868
1016;151654067
1017;151949889
1018;152244344
1019;152537443
1020;152829198
1021;153119619
1022;153408717
1023;153696502
1024;153982986
1025;154268177
1026;154552087
1027;154834725
1028;155116102
1029;155396227
1030;155675109
1031;155952759
1032;156229186
1033;156504399
1034;156778408
1035;157051221
1036;157322848
1037;157593298
1038;157862579
1039;158130700
1040;158397670
1041;158663498
1042;158928191
1043;159191758
1044;159454207
1045;159715547
1046;159975786
1047;160234931
1048;160492990
1049;160749972
1050;161005884
1051;161260733
1052;161514528
1053;161767275
1054;162018982
1055;162269656
